model,provider,origin_group,family_group,open_closed,reasoning_profile,notes
ByteDance-Seed/Seed-OSS-36B-Instruct,ByteDance,Chinese,Doubao / Seed,open_weight,general,
DeepSeek-R1,DeepSeek,Chinese,DeepSeek,open_weight,reasoning_specialized,
DeepSeek-V3,DeepSeek,Chinese,DeepSeek,open_weight,general,
DeepSeek-V3.1-Fast,DeepSeek,Chinese,DeepSeek,open_weight,general,
DeepSeek-V3.1-Terminus,DeepSeek,Chinese,DeepSeek,open_weight,general,
Kimi-K2-0905,Moonshot AI,Chinese,Kimi,closed_api,general,
LongCat-Flash-Chat,Meituan,Chinese,LongCat,open_weight,lightweight_general,
MiniMaxAI/MiniMax-M1-80k,MiniMax,Chinese,MiniMax,mixed_or_unknown,lightweight_general,Check deployment mode/open-weight status for this specific variant
MiniMaxAI/MiniMax-M2,MiniMax,Chinese,MiniMax,mixed_or_unknown,lightweight_general,Check deployment mode/open-weight status for this specific variant
Qwen/Qwen3-Omni-30B-A3B-Instruct,Alibaba Cloud,Chinese,Qwen,open_weight,general,
Qwen/Qwen3-Omni-30B-A3B-Thinking,Alibaba Cloud,Chinese,Qwen,open_weight,reasoning_specialized,
THUDM/GLM-4-32B-0414,Zhipu / THUDM,Chinese,GLM,mixed_or_unknown,general,Check deployment mode/open-weight status for this specific variant
THUDM/GLM-4-9B-0414,Zhipu / THUDM,Chinese,GLM,mixed_or_unknown,general,Check deployment mode/open-weight status for this specific variant
claude-3-5-haiku-20241022,Anthropic,Western,Claude,closed_api,lightweight_general,
claude-3-7-sonnet-20250219,Anthropic,Western,Claude,closed_api,general,
claude-3-haiku-20240307,Anthropic,Western,Claude,closed_api,lightweight_general,
claude-haiku-4-5,Anthropic,Western,Claude,closed_api,lightweight_general,
claude-opus-4-0,Anthropic,Western,Claude,closed_api,general,
claude-opus-4-6,Anthropic,Western,Claude,closed_api,general,
deepseek-ai/DeepSeek-V2.5,DeepSeek,Chinese,DeepSeek,open_weight,general,
deepseek-v3.2,DeepSeek,Chinese,DeepSeek,open_weight,general,
deepseek-v3.2-think,DeepSeek,Chinese,DeepSeek,open_weight,general,
doubao-seed-1-6,ByteDance,Chinese,Doubao / Seed,closed_api,general,
doubao-seed-1-6-flash,ByteDance,Chinese,Doubao / Seed,closed_api,lightweight_general,
doubao-seed-1-6-thinking,ByteDance,Chinese,Doubao / Seed,closed_api,reasoning_specialized,
doubao-seed-1-8,ByteDance,Chinese,Doubao / Seed,closed_api,general,
doubao-seed-2-0-pro,ByteDance,Chinese,Doubao / Seed,closed_api,general,
ernie-4.5,Baidu,Chinese,ERNIE,closed_api,general,
ernie-4.5-turbo-latest,Baidu,Chinese,ERNIE,closed_api,general,
ernie-5.0-thinking-preview,Baidu,Chinese,ERNIE,closed_api,reasoning_specialized,
ernie-x1-turbo-32k-preview,Baidu,Chinese,ERNIE,closed_api,general,
ernie-x1.1-preview,Baidu,Chinese,ERNIE,closed_api,general,
gemini-2.0-flash,Google,Western,Gemini,closed_api,lightweight_general,
gemini-2.5-flash,Google,Western,Gemini,closed_api,lightweight_general,
gemini-2.5-pro,Google,Western,Gemini,closed_api,mixed_or_unknown,Reasoning behavior may be integrated rather than exposed as a separate SKU
gemini-3-pro-preview,Google,Western,Gemini,closed_api,mixed_or_unknown,Reasoning behavior may be integrated rather than exposed as a separate SKU
gemini-3.1-pro-preview,Google,Western,Gemini,closed_api,mixed_or_unknown,Reasoning behavior may be integrated rather than exposed as a separate SKU
glm-4.5,Zhipu / THUDM,Chinese,GLM,mixed_or_unknown,general,Check deployment mode/open-weight status for this specific variant
glm-4.5-air,Zhipu / THUDM,Chinese,GLM,mixed_or_unknown,lightweight_general,Check deployment mode/open-weight status for this specific variant
glm-4.5-flash,Zhipu / THUDM,Chinese,GLM,mixed_or_unknown,lightweight_general,Check deployment mode/open-weight status for this specific variant
glm-5,Zhipu / THUDM,Chinese,GLM,mixed_or_unknown,general,Check deployment mode/open-weight status for this specific variant
gpt-4.1,OpenAI,Western,GPT/o,closed_api,general,
